t,fv0_x,fv0_v,fv0_v_kmh,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
2.25,-12.102624,3.448738,12.415458,-1982.8173,-1.82441,-3.1218162e-16,3.7882714e-15,12.102624,5.448738
2.3,-11.932712,3.3632746,12.107788,-1980.4098,-1.8221875,-9.7933824e-17,4.7816403e-15,11.932712,5.3632746
2.35,-11.766793,3.2748635,11.789509,-1857.5259,-1.7261289,1.6794669e-16,5.8535804e-15,11.766793,5.2748637
2.4,-11.604944,3.1870635,11.473428,-1684.3411,-1.5909023,4.8938853e-16,7.0040926e-15,11.604944,5.187063
2.45,-11.447568,3.108561,11.19082,-1635.0793,-1.5522299,8.703202e-16,8.233176e-15,11.447568,5.108561
2.5,-11.29436,3.036909,10.932873,-1666.8213,-1.5766745,1.3146704e-15,9.540831e-15,11.29436,5.036909
2.55,-11.14446,2.9606984,10.658514,-1554.3389,-1.4887806,1.819633e-15,1.065767e-14,11.14446,4.960698
2.6,-10.99806,2.8849983,10.385994,-1399.7994,-1.3681376,2.3689322e-15,1.1314304e-14,10.99806,4.8849983
2.65,-10.855549,2.818032,10.144915,-1373.0895,-1.3470862,2.9395582e-15,1.1510732e-14,10.855549,4.818032
2.7,-10.716576,2.7560928,9.921934,-1403.0549,-1.3701955,3.5085005e-15,1.1246956e-14,10.716576,4.756093
2.75,-10.580393,2.6888788,9.679964,-1279.1235,-1.273431,4.0527486e-15,1.0522976e-14,10.580393,4.688879
2.8,-10.4473915,2.624458,9.44805,-1168.8766,-1.1873367,4.549293e-15,9.33879e-15,10.4473915,4.6244583
2.85,-10.317747,2.5674624,9.242865,-1172.2783,-1.1897829,4.9751226e-15,7.6944e-15,10.317747,4.5674624
2.9,-10.190996,2.5118327,9.042598,-1165.0314,-1.1839424,5.3072277e-15,5.5898046e-15,10.190996,4.5118327
2.95,-10.06674,2.4524493,8.828817,-1039.3013,-1.0858141,5.522598e-15,3.0250047e-15,10.06674,4.4524493
3.0,-9.945411,2.398036,8.63293,-982.08295,-1.0410634,5.598223e-15,0.0,9.945411,4.398036
3.05,-9.826954,2.3491576,8.456967,-1008.62604,-1.061568,5.511093e-15,-3.4852096e-15,9.826954,4.349158
3.1,-9.71083,2.2979991,8.272797,-951.78284,-1.0171238,5.238197e-15,-7.430624e-15,9.71083,4.2979994
3.15,-9.597056,2.2461603,8.086177,-846.49713,-0.9349512,4.7565254e-15,-1.1836243e-14,9.597056,4.2461605
3.2,-9.485937,2.2002008,7.9207234,-838.0733,-0.92823726,4.0430674e-15,-1.6702067e-14,9.485937,4.200201
3.25,-9.377244,2.1573722,7.7665396,-868.6036,-0.9518731,3.0748135e-15,-2.2028096e-14,9.377244,4.157372
3.3,-9.2704735,2.110109,7.5963926,-771.04645,-0.875739,1.8287528e-15,-2.781433e-14,9.2704735,4.110109
3.35,-9.165957,2.0653272,7.4351773,-699.7397,-0.8200586,2.8187544e-16,-3.4060767e-14,9.165957,4.065327
3.4,-9.06382,2.0263844,7.294984,-732.2364,-0.8452419,-1.588829e-15,-4.076741e-14,9.06382,4.0263844
3.45,-8.963643,1.9869026,7.1528497,-726.4261,-0.84059036,-3.806371e-15,-4.793426e-14,8.963643,3.9869027
3.5,-8.865215,1.9441344,6.9988837,-619.88477,-0.7574785,-6.39376e-15,-5.5561313e-14,8.865215,3.9441345
3.55,-8.768936,1.9062488,6.8624954,-599.7493,-0.7416772,-9.3347215e-15,-6.207714e-14,8.768936,3.9062488
3.6,-8.674699,1.8722657,6.7401567,-645.75323,-0.77739954,-1.2534407e-14,-6.591031e-14,8.674699,3.8722656
3.65,-8.582009,1.834201,6.603123,-574.35443,-0.72167474,-1.5858686e-14,-6.706082e-14,8.582009,3.8342009
3.7,-8.49111,1.7973106,6.470318,-507.33902,-0.6693683,-1.9173423e-14,-6.552867e-14,8.49111,3.7973106
3.75,-8.402163,1.765459,6.355652,-536.3616,-0.691874,-2.2344487e-14,-6.131387e-14,8.402163,3.7654588
3.8,-8.314812,1.7329495,6.2386184,-529.2762,-0.6862569,-2.5237743e-14,-5.4416412e-14,8.314812,3.7329495
3.85,-8.228919,1.6980139,6.11285,-444.36398,-0.62002033,-2.7719062e-14,-4.4836293e-14,8.228919,3.6980138
3.9,-8.144799,1.6673002,6.002281,-439.6575,-0.6162627,-2.9654305e-14,-3.257352e-14,8.144799,3.6673002
3.95,-8.062313,1.6389759,5.900313,-473.15073,-0.64226323,-3.0909347e-14,-1.7628089e-14,8.062313,3.6389759
