traj_id,t,fv0_x,fv0_v,fv0_v_noise,fv0_u,fv0_a_ref,fv0_a
1.0,0.0,0.0,0.0,-0.05262391,1284.0,1.0,0.73027927
1.0,0.1,0.0036511563,0.07302071,0.069363475,1284.0,1.0,0.73013437
1.0,0.2,0.014603654,0.14602678,0.22585838,1284.0,1.0,0.72998625
1.0,0.3,0.03285601,0.21901785,0.18409412,1284.0,1.0,0.72983485
1.0,0.4,0.058406714,0.29199362,0.18903181,1284.0,1.0,0.7296802
1.0,0.5,0.09125421,0.3649538,0.2952575,1284.0,1.0,0.7295222
1.0,0.6,0.13139693,0.43789795,0.6141099,1284.0,1.0,0.72936106
1.0,0.7,0.17883326,0.5108259,0.72585505,1284.0,1.0,0.7291966
1.0,0.8,0.23356156,0.5837372,0.4501225,1284.0,1.0,0.72902894
1.0,0.9,0.29558015,0.6566316,0.5588287,1284.0,1.0,0.72885805
1.0,1.0,0.3648873,0.7295087,0.7187367,1284.0,1.0,0.7286839
1.0,1.1,0.4414813,0.8023682,0.7297015,1284.0,1.0,0.7285065
1.0,1.2,0.5253605,0.87520987,1.1064177,1284.0,1.0,0.72832584
1.0,1.3,0.6165234,0.9480334,0.7346282,1284.0,1.0,0.728142
1.0,1.4,0.714968,1.0208384,1.0057999,1284.0,1.0,0.7279549
1.0,1.5,0.82069254,1.0936245,1.1157299,1284.0,1.0,0.7277646
1.0,1.6,0.93369496,1.1663914,1.1015319,1284.0,1.0,0.72757107
1.0,1.7,1.0539733,1.2391388,1.3453071,1284.0,1.0,0.7273743
1.0,1.8,1.1815255,1.3118665,1.206122,1284.0,1.0,0.72717434
1.0,1.9,1.3163496,1.384574,1.4106014,1284.0,1.0,0.72697115
1.0,2.0,1.4584436,1.4572611,1.460333,1284.0,1.0,0.72676474
1.0,2.1,1.6078053,1.5299273,1.2765976,1284.0,1.0,0.72655517
1.0,2.2,1.7644325,1.6025724,1.5350041,1284.0,1.0,0.7263424
1.0,2.3,1.9283233,1.675196,1.6470714,1284.0,1.0,0.7261264
1.0,2.4,2.0994751,1.7477981,1.6906623,1284.0,1.0,0.7259072
1.0,2.5,2.2778862,1.8203778,1.894011,1284.0,1.0,0.7256849
1.0,2.6,2.463554,1.8929353,1.8278605,1284.0,1.0,0.7254593
1.0,2.7,2.6564763,1.9654701,1.8892155,1284.0,1.0,0.7252306
1.0,2.8,2.8566508,2.0379817,2.0464516,1284.0,1.0,0.72499865
1.0,2.9,3.064075,2.11047,2.0345325,1284.0,1.0,0.7247636
1.0,3.0,3.2787468,2.1829348,2.2705238,1284.0,1.0,0.72452533
1.0,3.1,3.500664,2.2553754,2.181016,1284.0,1.0,0.72428393
1.0,3.2,3.7298236,2.3277917,2.3962412,1284.0,1.0,0.7240394
1.0,3.3,3.9662235,2.4001834,2.3190656,1284.0,1.0,0.72379166
1.0,3.4,4.209861,2.4725502,2.5578547,1284.0,1.0,0.7235408
1.0,3.5,4.460734,2.5448916,2.6298828,1284.0,1.0,0.72328675
1.0,3.6,4.718839,2.6172075,2.3639343,1284.0,1.0,0.7230296
1.0,3.7,4.9841747,2.6894977,2.6747446,1284.0,1.0,0.7227693
1.0,3.8,5.2567377,2.7617614,2.6670027,1284.0,1.0,0.72250587
1.0,3.9,5.5365257,2.8339987,2.9178784,1284.0,1.0,0.7222393
1.0,4.0,5.823536,2.9062092,2.7591043,1284.0,1.0,0.72196966
1.0,4.1,6.1177654,2.9783926,3.0692248,1284.0,1.0,0.72169685
1.0,4.2,6.4192114,3.0505486,3.1429043,1284.0,1.0,0.72142094
1.0,4.3,6.727872,3.1226766,3.2688162,1284.0,1.0,0.72114193
1.0,4.4,7.0437436,3.1947768,3.2213433,1284.0,1.0,0.72085977
1.0,4.5,7.366823,3.2668483,3.3409073,1284.0,1.0,0.72057456
1.0,4.6,7.6971087,3.3388913,3.2075822,1284.0,1.0,0.72028625
1.0,4.7,8.034597,3.4109054,3.3227768,1284.0,1.0,0.71999484
1.0,4.8,8.379285,3.48289,3.5716023,1284.0,1.0,0.7197004
1.0,4.9,8.73117,3.5548449,3.6305766,1284.0,1.0,0.7194028
1.0,5.0,9.090248,3.62677,3.6485994,1284.0,1.0,0.7191022
1.0,5.1,9.456518,3.698665,3.6435344,1284.0,1.0,0.71879846
