t,fv0_x_noise,fv0_v_noise,fv0_x,fv0_v,fv0_u,fv0_a,fv0_a_noise,lv_x,lv_v,d_fv0_lv,d*_fv0_lv,fv0_a_ref
3.4,-3.708639,2.9383464,-3.8731477,3.00871,-3323.7097,-2.8669777,-2.8292286,-1.6769414e-15,-4.076741e-14,3.8731477,5.00871,-2.588559
3.5,-3.830242,2.8079686,-3.5860732,2.7337475,-2991.9478,-2.607569,-2.5806854,-6.4933774e-15,-5.5561313e-14,3.5860732,4.7337475,-2.3301773
3.6,-3.28394,2.5438116,-3.325713,2.4876025,-2737.7349,-2.408704,-2.3998053,-1.2566959e-14,-6.591031e-14,3.325713,4.487602,-2.1321924
3.7,-3.4808772,2.3001487,-3.0889432,2.2611315,-2481.991,-2.2087502,-2.2303162,-1.9138908e-14,-6.552867e-14,3.0889432,4.2611313,-1.9330149
3.8,-3.1389475,2.0776658,-2.87331,2.0494657,-2190.6191,-1.981128,-2.0014646,-2.5136162e-14,-5.4416412e-14,2.87331,4.0494657,-1.7060897
3.9,-2.637993,1.8926836,-2.6773653,1.8550448,-1907.8822,-1.7603121,-1.770402,-2.9485657e-14,-3.257352e-14,2.6773653,3.8550448,-1.4858896
4.0,-2.352681,1.7123101,-2.500374,1.685116,-1729.0531,-1.620518,-1.6821096,-3.1114336e-14,0.0,2.500374,3.685116,-1.3466146
4.1,-2.3055887,1.5255314,-2.3398623,1.5307232,-1570.7184,-1.496748,-1.4987115,-2.8949126e-14,4.330415e-14,2.3398623,3.5307233,-1.2233009
4.2,-2.2170458,1.5377555,-2.193916,1.3866272,-1388.8221,-1.3546718,-1.3100667,-2.1916972e-14,9.7338926e-14,2.193916,3.3866272,-1.0816371
4.3,-2.1219785,1.1250936,-2.0617578,1.2563597,-1234.0483,-1.2337695,-1.1899511,-8.94481e-15,1.6210434e-13,2.0617578,3.2563596,-0.9610968
4.4,-2.2378614,1.2408109,-1.942157,1.1386651,-1103.6746,-1.1319144,-1.150957,1.1040426e-14,2.3760036e-13,1.942157,3.1386652,-0.8595596
4.5,-1.9777188,1.1125463,-1.83375,1.0303121,-972.3871,-1.0293804,-0.9761763,3.9111797e-14,3.2382704e-13,1.83375,3.030312,-0.7573108
4.6,-1.8278039,1.0014898,-1.735676,0.93164986,-853.15515,-0.9362674,-0.8409722,7.451053e-14,3.8414755e-13,1.735676,2.93165,-0.66445106
4.7,-1.4356767,0.9542759,-1.647101,0.84257793,-753.2276,-0.85821867,-0.87402904,1.1281416e-13,3.819251e-13,1.647101,2.842578,-0.5866258
4.8,-1.4982978,0.75160885,-1.5670215,0.7608688,-655.80035,-0.78214,-0.74756426,1.477684e-13,3.1715968e-13,1.5670215,2.7608688,-0.5107479
4.9,-1.8472747,0.49886018,-1.4946666,0.6857576,-559.4304,-0.70690465,-0.8200451,1.7311894e-13,1.8985132e-13,1.4946666,2.6857576,-0.43569347
