traj_id,t,fv0_x,fv0_v,fv0_v_noise,fv0_u,fv0_a_ref,fv0_a
3.0,0.0,0.0,0.0,0.22596787,2568.0,2.0,1.7302793
3.0,0.1,0.0086425375,0.17276336,0.18476793,2561.7139,1.9951043,1.7250354
3.0,0.2,0.03453567,0.3450166,0.5249963,2555.8167,1.9905114,1.7200772
3.0,0.3,0.077629805,0.5167883,0.5553685,2550.308,1.9862213,1.7154044
3.0,0.4,0.13787822,0.688107,0.4491628,2545.1887,1.9822341,1.7110174
3.0,0.5,0.21523707,0.8590013,0.7780284,2540.4578,1.9785497,1.7069161
3.0,0.6,0.3096653,1.0294998,1.0155411,2536.116,1.9751681,1.7031006
3.0,0.7,0.42112476,1.199631,1.3121704,2532.1628,1.9720894,1.699571
3.0,0.8,0.54958016,1.3694235,1.2493216,2528.5986,1.9693135,1.6963272
3.0,0.9,0.6949991,1.538906,1.5584545,2525.423,1.9668404,1.6933694
3.0,1.0,0.857352,1.7081069,1.7623138,2522.6365,1.9646702,1.6906976
3.0,1.1,1.036612,1.8770549,1.6757219,2520.2388,1.9628026,1.6883117
3.0,1.2,1.2323132,2.0454369,2.1400876,2518.2297,1.961238,1.6862128
3.0,1.3,1.443854,2.2128463,2.2522185,2516.6096,1.9599763,1.6844023
3.0,1.4,1.6713552,2.37944,2.225108,2515.3782,1.9590174,1.6828803
3.0,1.5,1.9149411,2.5453737,2.4613771,2514.536,1.9583613,1.6816462
3.0,1.6,2.1747317,2.7107954,2.8118992,2514.0823,1.9580079,1.6807
3.0,1.7,2.4508433,2.8758461,2.5961437,2514.0173,1.9579575,1.6800408
3.0,1.8,2.7433884,3.04066,2.949264,2514.3413,1.9582098,1.6796688
3.0,1.9,3.0524752,3.205363,3.354115,2515.0542,1.958765,1.6795831
3.0,2.0,3.3782086,3.3700752,3.3043804,2516.156,1.959623,1.6797835
3.0,2.1,3.720689,3.5349085,3.4767222,2517.6465,1.9607838,1.6802694
3.0,2.2,4.0800133,3.699968,3.6799304,2519.526,1.9622475,1.6810404
3.0,2.3,4.456274,3.8653514,3.8880017,2521.794,1.964014,1.682096
3.0,2.4,4.8495603,4.03115,4.1225204,2524.451,1.9660833,1.6834358
3.0,2.5,5.2599573,4.197446,4.299128,2527.4968,1.9684554,1.6850591
3.0,2.6,5.687546,4.3643165,4.1622233,2530.9314,1.9711305,1.6869653
3.0,2.7,6.1324024,4.53183,4.5763407,2534.755,1.9741082,1.6891543
3.0,2.8,6.5946016,4.700049,4.5070143,2538.9673,1.9773889,1.6916252
3.0,2.9,7.074212,4.8690276,4.7228513,2543.5686,1.9809723,1.6943778
3.0,3.0,7.571299,5.038813,5.185954,2548.5586,1.9848586,1.6974114
3.0,3.1,8.085924,5.2094464,5.135983,2553.9373,1.9890478,1.7007257
3.0,3.2,8.618145,5.3809595,5.3282475,2559.7048,1.9935397,1.7043202
3.0,3.3,9.1680155,5.5533795,5.4940624,2565.8613,1.9983344,1.7081944
3.0,3.4,9.735585,5.7267237,5.768443,2572.4067,2.003432,1.712348
