t,fv0_x,fv0_v,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
5.2,-3.2444267,0.78941077,-0.34174454,-0.61320627,-0.0338461,-0.014637184,3.2105806,2.7894108
5.3,-3.1701639,0.74654806,-0.3616529,-0.6330102,0.030583814,-0.024848394,3.2007477,2.746548
5.4,-3.0993135,0.6973065,-0.28103754,-0.5522763,0.051549975,-0.009546897,3.1508636,2.6973066
5.5,-3.0330584,0.65402144,-0.23771681,-0.5088526,0.046564005,-0.011932474,3.0796223,2.6540215
5.6,-2.9697194,0.6064665,-0.12240718,-0.39343116,-0.041960876,-0.047551397,2.9277587,2.6064665
5.7,-2.9100103,0.5624858,-0.02314279,-0.2940646,-0.015460619,0.014004438,2.8945498,2.562486
5.8,-2.85256,0.5150251,0.1340508,-0.13676214,0.016563172,0.044406436,2.869123,2.5150251
5.9,-2.8011105,0.48984417,0.06956967,-0.20118606,0.048777256,0.012124744,2.8498876,2.489844
6.0,-2.753557,0.4675235,-0.0011965904,-0.27190194,-0.023958713,-0.0040584793,2.7295983,2.4675236
6.1,-2.708328,0.44187838,-0.015812064,-0.2864599,-0.009282948,-0.0010949279,2.699045,2.4418783
6.2,-2.6660223,0.41768795,-0.026868276,-0.29746222,-0.05531675,-0.008419718,2.6107056,2.417688
6.3,-2.6254885,0.38874224,0.031350352,-0.23917961,-0.059810333,0.0018008316,2.5656781,2.3887422
6.4,-2.5883424,0.36832196,0.012282243,-0.25820288,0.04062629,-0.00074016186,2.6289687,2.368322
6.5,-2.5540147,0.35324082,-0.05029127,-0.32074347,0.067812,-0.016820969,2.6218266,2.3532407
6.6,-2.5180192,0.31400257,0.1630736,-0.10729354,-0.003600506,0.033657767,2.5144188,2.3140025
6.7,-2.4893646,0.3143527,-0.042898763,-0.31326663,0.050176647,-0.029743085,2.5395412,2.3143528
6.8,-2.4583547,0.28333053,0.108098455,-0.16220285,0.018081801,0.01436663,2.4764366,2.2833304
6.9,-2.430907,0.26763687,0.10181538,-0.16845247,-0.03225599,-0.0020239525,2.3986511,2.2676368
7.0,-2.4023747,0.23641151,0.27303734,0.0028355941,0.01806978,0.038016636,2.4204445,2.2364116
7.1,-2.3783236,0.22616464,0.22600664,-0.044173528,0.07690183,0.006817292,2.4552252,2.2261646
7.2,-2.3565469,0.22163673,0.126867,-0.14330368,-0.001791302,-0.0071981107,2.3547554,2.2216368
7.3,-2.3353887,0.2113366,0.100876085,-0.16927299,0.078232184,-0.004954144,2.413621,2.2113366
7.4,-2.3150413,0.19484396,0.15440954,-0.11570511,-0.13098726,0.00079813384,2.1840541,2.194844
7.5,-2.2977133,0.19223404,0.0637365,-0.20637274,0.041095126,-0.022855815,2.3388085,2.192234
7.6,-2.2805328,0.18224457,0.06208805,-0.20800042,0.0043523535,-0.015337391,2.2848854,2.1822445
7.7,-2.2657976,0.1814522,-0.03202945,-0.30211627,-0.014950368,-0.03569888,2.2508473,2.1814523
7.8,-2.2502925,0.16920057,0.0051211333,-0.26494035,0.0045880387,-0.018459538,2.2548804,2.1692007
7.9,-2.2343354,0.14953274,0.12761244,-0.1424085,-0.099378444,0.0018781296,2.1349568,2.1495328
8.0,-2.219477,0.13638042,0.18018934,-0.08980466,-0.010983595,0.006003501,2.2084935,2.1363804
8.1,-2.2086065,0.14164281,0.041090693,-0.22891408,0.01785563,-0.039586592,2.226462,2.1416428
8.2,-2.1954355,0.12571537,0.13864498,-0.13132723,0.0738947,-0.002744234,2.2693303,2.1257155
8.3,-2.1825657,0.110370845,0.23141691,-0.03852409,-0.02591351,0.011268199,2.1566522,2.1103709
8.4,-2.1719534,0.107548736,0.19064885,-0.07928641,-0.04042468,-0.0032582437,2.1315289,2.1075487
8.5,-2.162546,0.10564492,0.1473647,-0.1225667,-0.025087852,-0.012675772,2.137458,2.105645
8.6,-2.153137,0.10001884,0.14849743,-0.12142258,0.045770105,-0.008243223,2.1989071,2.1000187
8.7,-2.1445282,0.09499724,0.14803416,-0.12187571,0.016437555,-0.0108152665,2.160966,2.0949972
8.8,-2.1364257,0.09044066,0.14558351,-0.12431715,-0.02648801,-0.012734611,2.109938,2.0904408
8.9,-2.1275375,0.07831364,0.22800016,-0.041876074,0.025663372,0.0034764707,2.1532009,2.0783136
9.0,-2.1165485,0.05471249,0.43268773,0.16285875,0.0048538777,0.046153765,2.1214023,2.0547125
9.1,-2.1114833,0.06823654,0.23577479,-0.034081243,0.04843225,-0.014873998,2.1599157,2.0682366
9.2,-2.1053474,0.06829299,0.19209237,-0.077763766,-0.035102654,-0.006362853,2.0702448,2.068293
9.3,-2.0989628,0.062259365,0.21936706,-0.05047699,-0.016383108,-0.0010339599,2.0825799,2.0622594
9.4,-2.0937402,0.060870614,0.19933446,-0.070506826,-0.019605407,-0.0137470905,2.0741346,2.0608706
9.5,-2.0873148,0.051954396,0.2607597,-0.009063759,-0.07317575,0.021964714,2.0141392,2.0519545
9.6,-2.085245,0.06753323,0.06022987,-0.20962474,0.014806014,-0.04741771,2.100051,2.0675333
9.7,-2.0796397,0.05487873,0.17203566,-0.097793646,0.0130527625,-0.010621186,2.0926926,2.0548787
9.8,-2.0735552,0.04282257,0.27336344,0.0035581407,0.00025567185,0.016366273,2.073811,2.0428226
9.9,-2.0698488,0.045083024,0.22040239,-0.049407408,-0.011729358,-0.0058818874,2.0581193,2.045083
10.0,-2.0666964,0.048221927,0.1608284,-0.108987644,-0.070768535,-0.016416779,1.9959279,2.0482218
10.1,-2.061706,0.03706136,0.25914207,-0.010651774,-0.021032268,0.008815137,2.0406737,2.0370615
10.2,-2.0566423,0.029246027,0.31700936,0.047230996,-0.017135726,0.018126868,2.0395067,2.029246
10.3,-2.053139,0.03063507,0.2758886,0.0061074942,-0.040113863,0.004212715,2.013025,2.030635
10.4,-2.0513377,0.03717158,0.18520622,-0.08458784,-0.008064285,-0.016024398,2.0432734,2.0371716
10.5,-2.0473466,0.027385045,0.27412882,0.0043541426,0.020202544,0.009124079,2.0675492,2.027385
10.6,-2.0450394,0.03174952,0.20584609,-0.06393723,0.0943093,-0.008040971,2.1393487,2.0317495
10.7,-2.0410676,0.020475348,0.31267804,0.042917006,0.008728895,0.014903753,2.0497966,2.0204754
10.8,-2.036847,0.010852167,0.39805502,0.12831296,0.012877526,0.02966519,2.0497246,2.010852
10.9,-2.0390103,0.038802095,0.07937942,-0.19041789,-0.003722289,-0.05211153,2.0352879,2.0388021
11.0,-2.035537,0.025190152,0.21763277,-0.052137572,-0.095938556,0.0022213494,1.9395984,2.02519
11.1,-2.0350425,0.031117398,0.14336462,-0.12641744,-0.0013256872,-0.034714688,2.0337167,2.0311174
11.2,-2.0287523,0.0026753834,0.43903512,0.16930914,0.0030115156,0.04883575,2.0317638,2.0026753
11.3,-2.0286567,0.015928444,0.280075,0.01032296,0.123162106,-0.009362528,2.1518188,2.0159285
11.4,-2.0261414,0.011730335,0.31260854,0.04286476,-0.00961805,0.0149274105,2.0165234,2.0117304
11.5,-2.02499,0.013776765,0.28010318,0.010355355,0.015077358,-0.0007064112,2.0400674,2.0137768
11.6,-2.0248199,0.020858487,0.19432025,-0.07544153,-0.0017356054,-0.01606178,2.0230842,2.0208585
11.7,-2.0244544,0.022440223,0.1728606,-0.096904315,-0.058433928,-0.018441148,1.9660205,2.0224402
11.8,-2.020332,0.0017856149,0.39071694,0.12099271,0.057141107,0.03171351,2.0774732,2.0017855
11.9,-2.0183115,-5.8685575e-05,0.3986022,0.12888157,0.037596613,0.019118717,2.0559082,1.9999413
12.0,-2.015134,-0.008657496,0.47906446,0.2093607,0.039551556,0.038871683,2.0546856,1.9913425
12.1,-2.0151145,0.003784189,0.3303226,0.06059443,-0.04546941,0.0011091244,1.969645,2.0037842
12.2,-2.014069,0.004465618,0.31486574,0.04513625,0.070139684,0.005758522,2.0842087,2.0044656
12.3,-2.013726,0.009442866,0.25301254,-0.016726753,-0.07009257,-0.0053436155,1.9436333,2.0094428
12.4,-2.0132942,0.01058925,0.23629718,-0.03344436,0.02934287,-0.0057413275,2.042637,2.0105894
12.5,-2.0139492,0.018058034,0.15166317,-0.11809308,0.109522834,-0.020837307,2.123472,2.018058
12.6,-2.0126522,0.010521128,0.23261355,-0.037127852,-0.049526718,0.0016807154,1.9631255,2.0105212
12.7,-2.0128078,0.013885548,0.19351213,-0.07623589,-0.028314736,-0.015784424,1.9844931,2.0138855
12.8,-2.011242,0.0051460424,0.2869473,0.017216483,0.004982765,0.0088386005,2.0162249,2.005146
12.9,-2.0103984,0.0046996647,0.28637424,0.016644277,-0.025173552,0.003400457,1.985225,2.0046997
13.0,-2.0093524,0.002672975,0.30326012,0.033534147,-0.07753293,0.005753641,1.9318196,2.002673
13.1,-2.0064306,-0.009374495,0.42671287,0.15701051,0.0034283749,0.033502262,2.009859,1.9906255
13.2,-2.0068178,0.00017161386,0.31539333,0.045672256,-0.053115014,-0.00075511454,1.9537028,2.0001717
13.3,-2.005491,-0.0021619233,0.3339768,0.06426033,0.023679692,0.015133282,2.0291708,1.997838
13.4,-2.002587,-0.014878212,0.46553445,0.19584283,-0.045971297,0.041028347,1.9566159,1.9851218
13.5,-2.0014062,-0.013833195,0.4447776,0.17508395,0.07749642,0.026129829,2.0789025,1.9861668
13.6,-2.0005088,-0.013042149,0.4290413,0.1593461,-0.039163243,0.023060413,1.9613456,1.9869579
13.7,-2.0016408,-0.0017262143,0.30180335,0.03208602,-0.01610395,-0.006136729,1.9855367,1.9982737
13.8,-2.0014198,-0.000991854,0.2914855,0.021766718,0.040674716,0.0045903996,2.0420945,1.9990082
13.9,-2.0032876,0.010656107,0.16543272,-0.10430894,-0.06154456,-0.026367,1.9417431,2.010656
14.0,-2.001805,0.0005287932,0.27603075,0.0063089747,0.011371581,0.009978288,2.0131767,2.0005288
14.1,-2.0012963,-0.0012969517,0.29428673,0.024568545,0.06535582,0.0054911627,2.066652,1.998703
14.2,-2.0012956,-0.0006716989,0.28682777,0.01710835,-0.080375165,0.000472106,1.9209204,1.9993283
14.3,-1.9997568,-0.00764838,0.35940614,0.089700416,0.00923128,0.020551229,2.0089881,1.9923517
