t,fv0_x_noise,fv0_v_noise,fv0_x,fv0_v,fv0_u,fv0_a,fv0_a_noise,lv_x,lv_v,d_fv0_lv,d*_fv0_lv,fv0_a_ref
3.6,-2.889185,3.2073605,-2.9309578,3.2573478,-1572.0537,-1.5037285,-1.5807501,1.1151093,1.646805,4.046067,5.2573476,-1.2243409
3.7,-3.0038614,3.171634,-2.6119273,3.1173308,-1201.0774,-1.2142558,-1.1949445,1.2864884,1.7807763,3.8984158,5.117331,-0.93541855
3.8,-2.5718513,2.9863598,-2.306214,3.0097497,-948.3017,-1.0169754,-1.0350106,1.4713297,1.9160485,3.7775438,5.00975,-0.7385527
3.9,-1.9706678,2.9004695,-2.01004,2.9200788,-674.7419,-0.80358243,-0.8145668,1.6697632,2.0526218,3.6798031,4.9200788,-0.5254999
4.0,-1.5737374,2.8886213,-1.7214307,2.8476527,-391.0525,-0.58236945,-0.52472275,1.881919,2.190496,3.6033497,4.847653,-0.304558
4.1,-1.4054129,2.7416263,-1.4396865,2.8013258,-210.29948,-0.44142437,-0.4759911,2.1079273,2.3296711,3.5476139,4.801326,-0.16378464
4.2,-1.1844988,2.9147396,-1.1613691,2.7654393,23.672184,-0.25907135,-0.22031687,2.3479183,2.4701474,3.5092874,4.7654395,0.018436281
4.3,-0.9459606,2.730178,-0.88573986,2.746191,229.592,-0.09862712,-0.023060981,2.602022,2.6119246,3.4877617,4.746191,0.17880997
4.4,-0.9074758,2.8081574,-0.6117714,2.7463214,365.14795,0.0069455598,-0.015837565,2.8703682,2.755003,3.4821398,4.7463217,0.28438312
4.5,-0.4805886,2.8977454,-0.33661973,2.7521853,568.13043,0.16501014,0.20186128,3.1530876,2.899382,3.4897072,4.7521853,0.44246915
4.6,-0.15258527,2.8780806,-0.060457505,2.7749152,704.7955,0.27136374,0.2592728,3.4502702,3.0442717,3.510728,4.774915,0.54890615
4.7,0.42977503,2.6684234,0.2183506,2.8093152,820.0955,0.36103445,0.40723935,3.7619278,3.1888807,3.5435772,4.809315,0.6387037
4.8,0.570227,2.8932836,0.50150335,2.848794,976.37396,0.4826002,0.40402573,4.0880322,3.333209,3.586529,4.848794,0.76041585
4.9,0.43607828,2.98827,0.7886863,2.903198,1057.221,0.54536176,0.46308616,4.4285555,3.4772568,3.6398695,4.9031982,0.8233808
5.0,1.1467619,3.050804,1.0819451,2.9616175,1173.7872,0.63592505,0.6163617,4.7834697,3.621024,3.7015247,4.9616175,0.91416454
5.1,1.3045405,2.916269,1.381557,3.0275984,1280.0026,0.71839577,0.67394954,5.152746,3.7645106,3.7711895,5.0275984,0.99688673
5.2,1.5522529,3.039827,1.6876372,3.1055305,1321.2196,0.75019574,0.7243603,5.536358,3.9077168,3.8487206,5.1055307,1.0289872
5.3,2.124659,3.2815256,2.0023239,3.1820698,1437.1464,0.84018266,0.82920635,5.9342756,4.0506425,3.9319518,5.18207,1.119273
5.4,2.5310023,3.1923923,2.3248024,3.2685683,1498.2021,0.8873918,0.9233925,6.3464723,4.1932874,4.02167,5.2685685,1.1668241
